Date,Region,Latitude,Longitude,Temperature (°C),Rainfall (mm)
2015-01-08,Copperbelt,-12.83,28.2116,22.42,10.4
2015-01-08,Eastern,-13.7894,32.6073,24.18,40.84
2015-01-08,Southern,-16.5833,27.8333,24.15,8.73
2015-01-08,Western,-14.5,23.25,22.05,41.14
2015-01-08,Northern,-10.9167,30.0833,24.42,45.96
2015-01-08,Luapula,-10.83,29.72,24.51,44.53
2015-01-08,Muchinga,-10.9,32.15,20.62,12.84
2015-01-08,Central,-14.0,28.0,24.41,22.61
2015-01-08,North-Western,-13.1833,24.8167,20.23,23.58
2015-01-09,Lusaka,-15.4167,28.2833,24.79,31.73
2015-01-09,Copperbelt,-12.83,28.2116,23.22,19.49
2015-01-09,Eastern,-13.7894,32.6073,20.06,44.28
2015-01-09,Southern,-16.5833,27.8333,25.64,45.32
2015-01-09,Western,-14.5,23.25,20.12,18.59
2015-01-09,Northern,-10.9167,30.0833,21.74,47.53
2015-01-09,Luapula,-10.83,29.72,21.61,13.98
2015-01-09,Muchinga,-10.9,32.15,25.49,8.55
2015-01-09,Central,-14.0,28.0,20.49,18.66
2015-01-09,North-Western,-13.1833,24.8167,21.01,34.69
2015-01-10,Lusaka,-15.4167,28.2833,25.82,47.9
2015-01-10,Copperbelt,-12.83,28.2116,21.03,9.59
2015-01-10,Eastern,-13.7894,32.6073,20.8,42.98
2015-01-10,Southern,-16.5833,27.8333,22.38,37.82
2015-01-10,Western,-14.5,23.25,21.52,33.52
2015-01-10,Northern,-10.9167,30.0833,20.47,46.74
2015-01-10,Luapula,-10.83,29.72,21.56,27.69
2015-01-10,Muchinga,-10.9,32.15,21.32,7.44
2015-01-10,Central,-14.0,28.0,22.7,14.7
2015-01-10,North-Western,-13.1833,24.8167,23.46,20.92
2015-01-11,Lusaka,-15.4167,28.2833,23.46,6.95
2015-01-11,Copperbelt,-12.83,28.2116,24.46,23.02
2015-01-11,Eastern,-13.7894,32.6073,21.57,41.91
2015-01-11,Southern,-16.5833,27.8333,21.1,40.83
2015-01-11,Western,-14.5,23.25,25.87,23.8
2015-01-11,Northern,-10.9167,30.0833,21.99,12.03
2015-01-11,Luapula,-10.83,29.72,24.8,37.81
2015-01-11,Muchinga,-10.9,32.15,21.7,19.95
2015-01-11,Central,-14.0,28.0,21.5,15.16
2015-01-11,North-Western,-13.1833,24.8167,25.91,12.53
2015-01-12,Lusaka,-15.4167,28.2833,21.71,40.63
2015-01-12,Copperbelt,-12.83,28.2116,22.05,17.13
2015-01-12,Eastern,-13.7894,32.6073,22.51,43.97
2015-01-12,Southern,-16.5833,27.8333,23.32,35.38
2015-01-12,Western,-14.5,23.25,20.53,34.02
2015-01-12,Northern,-10.9167,30.0833,25.18,23.28
2015-01-12,Luapula,-10.83,29.72,25.76,36.29
2015-01-12,Muchinga,-10.9,32.15,21.06,17.89
2015-01-12,Central,-14.0,28.0,23.54,32.16
2015-01-12,North-Western,-13.1833,24.8167,25.47,17.96
2015-01-13,Lusaka,-15.4167,28.2833,21.1,10.84
2015-01-13,Copperbelt,-12.83,28.2116,22.85,49.94
2015-01-13,Eastern,-13.7894,32.6073,24.37,39.68
2015-01-13,Southern,-16.5833,27.8333,25.67,22.01
2015-01-13,Western,-14.5,23.25,20.48,32.3
2015-01-13,Northern,-10.9167,30.0833,23.07,19.56
2015-01-13,Luapula,-10.83,29.72,23.25,9.3
2015-01-13,Muchinga,-10.9,32.15,23.97,35.21
2015-01-13,Central,-14.0,28.0,21.04,29.28
2015-01-13,North-Western,-13.1833,24.8167,24.93,49.45
2015-01-14,Lusaka,-15.4167,28.2833,21.91,38.91
2015-01-14,Copperbelt,-12.83,28.2116,23.65,47.68
2015-01-14,Eastern,-13.7894,32.6073,24.96,36.84
2015-01-14,Southern,-16.5833,27.8333,24.89,30.28
2015-01-14,Western,-14.5,23.25,25.32,10.43
2015-01-14,Northern,-10.9167,30.0833,24.21,32.28
2015-01-14,Luapula,-10.83,29.72,23.5,31.85
2015-01-14,Muchinga,-10.9,32.15,23.15,32.45
2015-01-14,Central,-14.0,28.0,24.23,46.92
2015-01-14,North-Western,-13.1833,24.8167,21.68,37.22
2015-01-15,Lusaka,-15.4167,28.2833,24.17,45.84
2015-01-15,Copperbelt,-12.83,28.2116,24.11,35.09
2015-01-15,Eastern,-13.7894,32.6073,24.41,26.65
2015-01-15,Southern,-16.5833,27.8333,25.66,33.71
2015-01-15,Western,-14.5,23.25,21.63,22.68
2015-01-15,Northern,-10.9167,30.0833,22.04,21.03
2015-01-15,Luapula,-10.83,29.72,25.95,31.3
2015-01-15,Muchinga,-10.9,32.15,21.45,37.26
2015-01-15,Central,-14.0,28.0,23.25,38.03
2015-01-15,North-Western,-13.1833,24.8167,20.32,11.47
2015-01-16,Lusaka,-15.4167,28.2833,23.48,46.06
2015-01-16,Copperbelt,-12.83,28.2116,21.08,16.78
2015-01-16,Eastern,-13.7894,32.6073,21.9,11.64
2015-01-16,Southern,-16.5833,27.8333,22.74,42.9
2015-01-16,Western,-14.5,23.25,25.16,43.76
2015-01-16,Northern,-10.9167,30.0833,21.44,25.32
2015-01-16,Luapula,-10.83,29.72,21.29,33.49
2015-01-16,Muchinga,-10.9,32.15,23.49,20.93
2015-01-16,Central,-14.0,28.0,21.83,29.74
2015-01-16,North-Western,-13.1833,24.8167,21.74,41.49
2015-01-17,Lusaka,-15.4167,28.2833,21.94,18.37
2015-01-17,Copperbelt,-12.83,28.2116,21.34,36.04
2015-01-17,Eastern,-13.7894,32.6073,23.17,6.61
2015-01-17,Southern,-16.5833,27.8333,22.34,9.86
2015-01-17,Western,-14.5,23.25,23.46,29.34
2015-01-17,Northern,-10.9167,30.0833,20.47,19.57
2015-01-17,Luapula,-10.83,29.72,24.01,15.07
2015-01-17,Muchinga,-10.9,32.15,24.38,40.24
2015-01-17,Central,-14.0,28.0,22.62,44.95
2015-01-17,North-Western,-13.1833,24.8167,22.37,13.21
2015-01-18,Lusaka,-15.4167,28.2833,22.72,47.54
2015-01-18,Copperbelt,-12.83,28.2116,23.12,18.8
2015-01-18,Eastern,-13.7894,32.6073,20.73,39.35
2015-01-18,Southern,-16.5833,27.8333,22.59,41.77
2015-01-18,Western,-14.5,23.25,21.21,7.53
2015-01-18,Northern,-10.9167,30.0833,22.95,42.4
2015-01-18,Luapula,-10.83,29.72,25.93,49.93
2015-01-18,Muchinga,-10.9,32.15,21.37,19.56
2015-01-18,Central,-14.0,28.0,23.38,21.72
2015-01-18,North-Western,-13.1833,24.8167,20.82,22.45
2015-01-19,Lusaka,-15.4167,28.2833,21.66,45.08
2015-01-19,Copperbelt,-12.83,28.2116,20.97,17.36
2015-01-19,Eastern,-13.7894,32.6073,24.16,5.4
2015-01-19,Southern,-16.5833,27.8333,25.27,20.86
2015-01-19,Western,-14.5,23.25,21.13,21.29
2015-01-19,Northern,-10.9167,30.0833,25.33,40.17
2015-01-19,Luapula,-10.83,29.72,26.09,39.72
2015-01-19,Muchinga,-10.9,32.15,21.0,40.16
2015-01-19,Central,-14.0,28.0,24.69,16.38
2015-01-19,North-Western,-13.1833,24.8167,21.6,10.33
2015-01-20,Lusaka,-15.4167,28.2833,21.85,32.12
2015-01-20,Copperbelt,-12.83,28.2116,21.84,26.6
2015-01-20,Eastern,-13.7894,32.6073,25.22,18.73
2015-01-20,Southern,-16.5833,27.8333,25.69,6.65
2015-01-20,Western,-14.5,23.25,21.28,39.49
2015-01-20,Northern,-10.9167,30.0833,24.52,14.62
2015-01-20,Luapula,-10.83,29.72,25.35,42.2
2015-01-20,Muchinga,-10.9,32.15,21.29,15.77
2015-01-20,Central,-14.0,28.0,26.23,40.26
2015-01-20,North-Western,-13.1833,24.8167,22.23,15.7
2015-01-21,Lusaka,-15.4167,28.2833,23.44,16.08
2015-01-21,Copperbelt,-12.83,28.2116,22.53,15.39
2015-01-21,Eastern,-13.7894,32.6073,26.31,47.63
2015-01-21,Southern,-16.5833,27.8333,22.45,44.81
2015-01-21,Western,-14.5,23.25,23.15,13.39
2015-01-21,Northern,-10.9167,30.0833,22.24,28.04
2015-01-21,Luapula,-10.83,29.72,23.08,28.69
2015-01-21,Muchinga,-10.9,32.15,22.22,42.78
2015-01-21,Central,-14.0,28.0,24.09,23.0
2015-01-21,North-Western,-13.1833,24.8167,23.71,33.12
2015-01-22,Lusaka,-15.4167,28.2833,25.64,44.92
2015-01-22,Copperbelt,-12.83,28.2116,26.0,38.92
2015-01-22,Eastern,-13.7894,32.6073,25.43,10.85
2015-01-22,Southern,-16.5833,27.8333,21.32,13.15
2015-01-22,Western,-14.5,23.25,23.83,48.73
2015-01-22,Northern,-10.9167,30.0833,23.69,46.34
2015-01-22,Luapula,-10.83,29.72,23.49,8.92
2015-01-22,Muchinga,-10.9,32.15,22.62,18.95
2015-01-22,Central,-14.0,28.0,21.76,8.85
2015-01-22,North-Western,-13.1833,24.8167,24.56,34.2
2015-01-23,Lusaka,-15.4167,28.2833,22.92,49.35
2015-01-23,Copperbelt,-12.83,28.2116,23.13,9.8
2015-01-23,Eastern,-13.7894,32.6073,22.63,15.18
2015-01-23,Southern,-16.5833,27.8333,25.94,21.66
2015-01-23,Western,-14.5,23.25,26.24,49.38
2015-01-23,Northern,-10.9167,30.0833,24.65,44.39
2015-01-23,Luapula,-10.83,29.72,23.5,22.44
2015-01-23,Muchinga,-10.9,32.15,22.12,49.64
2015-01-23,Central,-14.0,28.0,26.77,15.8
2015-01-23,North-Western,-13.1833,24.8167,24.14,11.27
2015-01-24,Lusaka,-15.4167,28.2833,24.36,44.6
2015-01-24,Copperbelt,-12.83,28.2116,26.95,8.33
2015-01-24,Eastern,-13.7894,32.6073,26.29,11.91
2015-01-24,Southern,-16.5833,27.8333,23.51,40.82
2015-01-24,Western,-14.5,23.25,21.41,25.4
2015-01-24,Northern,-10.9167,30.0833,26.27,30.1
2015-01-24,Luapula,-10.83,29.72,22.78,37.99
2015-01-24,Muchinga,-10.9,32.15,24.68,40.23
2015-01-24,Central,-14.0,28.0,25.42,49.53
2015-01-24,North-Western,-13.1833,24.8167,22.67,20.75
2015-01-25,Lusaka,-15.4167,28.2833,25.78,31.82
2015-01-25,Copperbelt,-12.83,28.2116,24.76,33.55
2015-01-25,Eastern,-13.7894,32.6073,25.67,44.42
2015-01-25,Southern,-16.5833,27.8333,22.5,17.24
2015-01-25,Western,-14.5,23.25,26.6,20.95
2015-01-25,Northern,-10.9167,30.0833,21.38,6.56
2015-01-25,Luapula,-10.83,29.72,26.56,6.87
2015-01-25,Muchinga,-10.9,32.15,24.79,11.29
2015-01-25,Central,-14.0,28.0,24.01,30.48
2015-01-25,North-Western,-13.1833,24.8167,22.24,46.99
2015-01-26,Lusaka,-15.4167,28.2833,24.34,45.41
2015-01-26,Copperbelt,-12.83,28.2116,26.21,31.83
2015-01-26,Eastern,-13.7894,32.6073,24.61,38.21
2015-01-26,Southern,-16.5833,27.8333,24.53,46.27
2015-01-26,Western,-14.5,23.25,23.17,16.73
2015-01-26,Northern,-10.9167,30.0833,26.34,19.03
2015-01-26,Luapula,-10.83,29.72,24.86,23.23
2015-01-26,Muchinga,-10.9,32.15,22.86,20.15
2015-01-26,Central,-14.0,28.0,25.6,22.46
2015-01-26,North-Western,-13.1833,24.8167,23.21,9.67
2015-01-27,Lusaka,-15.4167,28.2833,23.23,17.66
2015-01-27,Copperbelt,-12.83,28.2116,22.24,13.26
2015-01-27,Eastern,-13.7894,32.6073,22.59,16.69
2015-01-27,Southern,-16.5833,27.8333,22.89,38.82
2015-01-27,Western,-14.5,23.25,26.28,24.99
2015-01-27,Northern,-10.9167,30.0833,21.8,40.8
2015-01-27,Luapula,-10.83,29.72,24.84,13.8
2015-01-27,Muchinga,-10.9,32.15,26.06,17.6
2015-01-27,Central,-14.0,28.0,25.94,18.11
2015-01-27,North-Western,-13.1833,24.8167,26.49,21.37
2015-01-28,Lusaka,-15.4167,28.2833,26.4,20.87
2015-01-28,Copperbelt,-12.83,28.2116,24.91,33.75
2015-01-28,Eastern,-13.7894,32.6073,21.9,42.28
2015-01-28,Southern,-16.5833,27.8333,25.66,15.05
2015-01-28,Western,-14.5,23.25,24.01,15.89
2015-01-28,Northern,-10.9167,30.0833,22.61,42.82
2015-01-28,Luapula,-10.83,29.72,22.8,49.71
2015-01-28,Muchinga,-10.9,32.15,22.8,5.93
2015-01-28,Central,-14.0,28.0,25.46,45.21
2015-01-28,North-Western,-13.1833,24.8167,23.37,42.48
2015-01-29,Lusaka,-15.4167,28.2833,26.49,19.95
2015-01-29,Copperbelt,-12.83,28.2116,22.84,43.15
2015-01-29,Eastern,-13.7894,32.6073,26.15,21.16
2015-01-29,Southern,-16.5833,27.8333,25.12,8.76
2015-01-29,Western,-14.5,23.25,23.77,31.83
2015-01-29,Northern,-10.9167,30.0833,22.84,29.93
2015-01-29,Luapula,-10.83,29.72,21.72,22.34
2015-01-29,Muchinga,-10.9,32.15,22.38,8.38
2015-01-29,Central,-14.0,28.0,22.34,48.75
2015-01-29,North-Western,-13.1833,24.8167,25.76,21.28
2015-01-30,Lusaka,-15.4167,28.2833,24.31,32.75
2015-01-30,Copperbelt,-12.83,28.2116,22.67,15.56
2015-01-30,Eastern,-13.7894,32.6073,24.29,24.94
2015-01-30,Southern,-16.5833,27.8333,22.91,37.66
2015-01-30,Western,-14.5,23.25,22.51,16.46
2015-01-30,Northern,-10.9167,30.0833,25.68,32.29
2015-01-30,Luapula,-10.83,29.72,23.52,32.16
2015-01-30,Muchinga,-10.9,32.15,26.44,20.01
2015-01-30,Central,-14.0,28.0,24.12,26.59
2015-01-30,North-Western,-13.1833,24.8167,24.86,37.67
2015-01-31,Lusaka,-15.4167,28.2833,24.46,13.39
2015-01-31,Copperbelt,-12.83,28.2116,21.56,26.84
2015-01-31,Eastern,-13.7894,32.6073,22.69,38.03
2015-01-31,Southern,-16.5833,27.8333,26.78,18.64
2015-01-31,Western,-14.5,23.25,23.63,42.03
2015-01-31,Northern,-10.9167,30.0833,24.99,16.44
2015-01-31,Luapula,-10.83,29.72,26.06,25.19
2015-01-31,Muchinga,-10.9,32.15,24.28,30.27
2015-01-31,Central,-14.0,28.0,24.81,20.06
2015-01-31,North-Western,-13.1833,24.8167,24.44,8.4
2015-02-01,Lusaka,-15.4167,28.2833,24.92,20.43
2015-02-01,Copperbelt,-12.83,28.2116,24.89,17.0
2015-02-01,Eastern,-13.7894,32.6073,26.94,46.92
2015-02-01,Southern,-16.5833,27.8333,25.95,28.2
2015-02-01,Western,-14.5,23.25,24.02,8.85
2015-02-01,Northern,-10.9167,30.0833,23.13,36.36
2015-02-01,Luapula,-10.83,29.72,21.66,44.42
2015-02-01,Muchinga,-10.9,32.15,23.91,31.8
2015-02-01,Central,-14.0,28.0,23.53,45.13
2015-02-01,North-Western,-13.1833,24.8167,27.54,15.62
2015-02-02,Lusaka,-15.4167,28.2833,22.33,39.74
2015-02-02,Copperbelt,-12.83,28.2116,23.02,34.07
2015-02-02,Eastern,-13.7894,32.6073,23.56,16.13
2015-02-02,Southern,-16.5833,27.8333,25.21,23.36
2015-02-02,Western,-14.5,23.25,27.21,15.63
2015-02-02,Northern,-10.9167,30.0833,22.95,42.99
2015-02-02,Luapula,-10.83,29.72,23.85,20.46
2015-02-02,Muchinga,-10.9,32.15,22.54,38.9
2015-02-02,Central,-14.0,28.0,22.14,38.68
2015-02-02,North-Western,-13.1833,24.8167,24.08,10.03
2015-02-03,Lusaka,-15.4167,28.2833,25.86,14.25
2015-02-03,Copperbelt,-12.83,28.2116,26.79,21.46
2015-02-03,Eastern,-13.7894,32.6073,24.03,23.39
2015-02-03,Southern,-16.5833,27.8333,23.62,29.69
2015-02-03,Western,-14.5,23.25,22.61,23.61
2015-02-03,Northern,-10.9167,30.0833,22.25,10.35
2015-02-03,Luapula,-10.83,29.72,27.15,25.8
2015-02-03,Muchinga,-10.9,32.15,25.19,43.12
2015-02-03,Central,-14.0,28.0,27.08,6.51
2015-02-03,North-Western,-13.1833,24.8167,27.32,47.3
2015-02-04,Lusaka,-15.4167,28.2833,26.6,35.41
2015-02-04,Copperbelt,-12.83,28.2116,25.76,22.69
2015-02-04,Eastern,-13.7894,32.6073,21.99,35.87
2015-02-04,Southern,-16.5833,27.8333,24.71,35.51
2015-02-04,Western,-14.5,23.25,22.13,16.82
2015-02-04,Northern,-10.9167,30.0833,26.98,16.53
2015-02-04,Luapula,-10.83,29.72,23.81,41.48
2015-02-04,Muchinga,-10.9,32.15,24.69,16.94
2015-02-04,Central,-14.0,28.0,25.73,41.32
2015-02-04,North-Western,-13.1833,24.8167,24.17,27.87
2015-02-05,Lusaka,-15.4167,28.2833,23.75,36.03
2015-02-05,Copperbelt,-12.83,28.2116,27.66,42.87
2015-02-05,Eastern,-13.7894,32.6073,22.32,47.32
2015-02-05,Southern,-16.5833,27.8333,22.27,37.97
2015-02-05,Western,-14.5,23.25,24.03,15.96
2015-02-05,Northern,-10.9167,30.0833,24.57,19.93
2015-02-05,Luapula,-10.83,29.72,23.83,22.61
2015-02-05,Muchinga,-10.9,32.15,22.52,32.82
2015-02-05,Central,-14.0,28.0,23.77,11.01
2015-02-05,North-Western,-13.1833,24.8167,23.31,8.35
2015-02-06,Lusaka,-15.4167,28.2833,27.67,22.3
2015-02-06,Copperbelt,-12.83,28.2116,22.95,29.17
2015-02-06,Eastern,-13.7894,32.6073,24.26,6.71
2015-02-06,Southern,-16.5833,27.8333,27.72,43.49
2015-02-06,Western,-14.5,23.25,24.54,6.64
2015-02-06,Northern,-10.9167,30.0833,26.42,28.12
2015-02-06,Luapula,-10.83,29.72,27.5,45.02
2015-02-06,Muchinga,-10.9,32.15,24.52,21.84
2015-02-06,Central,-14.0,28.0,23.59,40.93
2015-02-06,North-Western,-13.1833,24.8167,25.01,9.92
2015-02-07,Lusaka,-15.4167,28.2833,22.73,15.92
2015-02-07,Copperbelt,-12.83,28.2116,27.1,7.91
2015-02-07,Eastern,-13.7894,32.6073,23.89,34.54
2015-02-07,Southern,-16.5833,27.8333,22.06,42.47
2015-02-07,Western,-14.5,23.25,24.84,34.76
2015-02-07,Northern,-10.9167,30.0833,22.07,23.38
2015-02-07,Luapula,-10.83,29.72,27.72,38.96
2015-02-07,Muchinga,-10.9,32.15,23.38,34.15
2015-02-07,Central,-14.0,28.0,24.59,13.65
2015-02-07,North-Western,-13.1833,24.8167,24.43,36.84
2015-02-08,Lusaka,-15.4167,28.2833,22.36,43.61
2015-02-08,Copperbelt,-12.83,28.2116,26.22,26.42
2015-02-08,Eastern,-13.7894,32.6073,22.48,29.48
2015-02-08,Southern,-16.5833,27.8333,27.98,41.71
2015-02-08,Western,-14.5,23.25,26.94,17.29
2015-02-08,Northern,-10.9167,30.0833,25.81,40.86
2015-02-08,Luapula,-10.83,29.72,26.76,41.43
2015-02-08,Muchinga,-10.9,32.15,26.63,44.44
2015-02-08,Central,-14.0,28.0,22.15,37.08
2015-02-08,North-Western,-13.1833,24.8167,25.57,22.98
2015-02-09,Lusaka,-15.4167,28.2833,23.38,48.07
2015-02-09,Copperbelt,-12.83,28.2116,25.53,45.46
2015-02-09,Eastern,-13.7894,32.6073,25.2,30.62
2015-02-09,Southern,-16.5833,27.8333,24.51,23.62
2015-02-09,Western,-14.5,23.25,25.97,43.54
2015-02-09,Northern,-10.9167,30.0833,26.17,44.73
2015-02-09,Luapula,-10.83,29.72,22.42,35.01
2015-02-09,Muchinga,-10.9,32.15,24.13,16.93
2015-02-09,Central,-14.0,28.0,25.14,37.55
2015-02-09,North-Western,-13.1833,24.8167,27.33,48.91
2015-02-10,Lusaka,-15.4167,28.2833,24.8,26.32
2015-02-10,Copperbelt,-12.83,28.2116,26.64,8.93
2015-02-10,Eastern,-13.7894,32.6073,24.89,7.1
2015-02-10,Southern,-16.5833,27.8333,23.23,35.61
2015-02-10,Western,-14.5,23.25,25.32,43.01
2015-02-10,Northern,-10.9167,30.0833,23.67,38.89
2015-02-10,Luapula,-10.83,29.72,24.6,23.76
2015-02-10,Muchinga,-10.9,32.15,22.66,49.83
2015-02-10,Central,-14.0,28.0,23.81,39.75
2015-02-10,North-Western,-13.1833,24.8167,22.42,31.94
2015-02-11,Lusaka,-15.4167,28.2833,24.05,11.85
2015-02-11,Copperbelt,-12.83,28.2116,27.9,40.35
2015-02-11,Eastern,-13.7894,32.6073,27.18,23.74
2015-02-11,Southern,-16.5833,27.8333,22.35,14.74
2015-02-11,Western,-14.5,23.25,27.74,38.18
2015-02-11,Northern,-10.9167,30.0833,23.34,43.86
2015-02-11,Luapula,-10.83,29.72,24.56,5.3
2015-02-11,Muchinga,-10.9,32.15,22.87,20.45
2015-02-11,Central,-14.0,28.0,23.01,13.23
2015-02-11,North-Western,-13.1833,24.8167,25.83,16.2
2015-02-12,Lusaka,-15.4167,28.2833,28.14,22.09
2015-02-12,Copperbelt,-12.83,28.2116,24.98,19.71
2015-02-12,Eastern,-13.7894,32.6073,28.05,28.27
2015-02-12,Southern,-16.5833,27.8333,23.77,18.55
2015-02-12,Western,-14.5,23.25,27.34,48.35
2015-02-12,Northern,-10.9167,30.0833,23.94,26.65
2015-02-12,Luapula,-10.83,29.72,24.36,16.88
2015-02-12,Muchinga,-10.9,32.15,23.23,49.08
2015-02-12,Central,-14.0,28.0,23.43,46.41
2015-02-12,North-Western,-13.1833,24.8167,24.77,31.15
2015-02-13,Lusaka,-15.4167,28.2833,27.83,11.32
2015-02-13,Copperbelt,-12.83,28.2116,27.17,10.22
2015-02-13,Eastern,-13.7894,32.6073,23.71,37.12
2015-02-13,Southern,-16.5833,27.8333,25.06,44.41
2015-02-13,Western,-14.5,23.25,26.92,38.33
2015-02-13,Northern,-10.9167,30.0833,26.23,48.29
2015-02-13,Luapula,-10.83,29.72,22.66,27.6
2015-02-13,Muchinga,-10.9,32.15,25.05,20.18
2015-02-13,Central,-14.0,28.0,25.9,47.02
2015-02-13,North-Western,-13.1833,24.8167,27.35,12.93
2015-02-14,Lusaka,-15.4167,28.2833,26.09,31.95
2015-02-14,Copperbelt,-12.83,28.2116,26.03,47.47
2015-02-14,Eastern,-13.7894,32.6073,22.83,32.15
2015-02-14,Southern,-16.5833,27.8333,25.25,48.8
2015-02-14,Western,-14.5,23.25,26.42,9.19
2015-02-14,Northern,-10.9167,30.0833,23.27,36.23
2015-02-14,Luapula,-10.83,29.72,27.22,40.82
2015-02-14,Muchinga,-10.9,32.15,27.15,34.7
2015-02-14,Central,-14.0,28.0,22.85,20.46
2015-02-14,North-Western,-13.1833,24.8167,27.65,10.8
2015-02-15,Lusaka,-15.4167,28.2833,27.79,22.46
2015-02-15,Copperbelt,-12.83,28.2116,28.42,9.3
2015-02-15,Eastern,-13.7894,32.6073,23.86,7.62
2015-02-15,Southern,-16.5833,27.8333,24.94,32.79
2015-02-15,Western,-14.5,23.25,24.09,31.85
2015-02-15,Northern,-10.9167,30.0833,24.36,37.16
2015-02-15,Luapula,-10.83,29.72,23.01,47.89
2015-02-15,Muchinga,-10.9,32.15,22.76,46.45
2015-02-15,Central,-14.0,28.0,22.94,40.64
2015-02-15,North-Western,-13.1833,24.8167,27.14,5.95
2015-02-16,Lusaka,-15.4167,28.2833,25.72,41.87
2015-02-16,Copperbelt,-12.83,28.2116,27.45,22.97
2015-02-16,Eastern,-13.7894,32.6073,26.37,31.02
2015-02-16,Southern,-16.5833,27.8333,24.03,25.9
2015-02-16,Western,-14.5,23.25,24.42,9.57
